pt0,pt1,pt2,pt3,pt4,pt5,pt6,pt7,lc0,lc1,timestamp
79.9070053101,728.0151977539,-15.6013669968,-15.6482725143,,,,,-27.2996768951,,1770496272.230463
79.7243270874,727.3236083984,-14.9390554428,-15.7697677612,,,,,-27.7960567474,,1770496272.2430232
79.9679031372,728.0920410156,-15.2334241867,-15.1622934341,,,,,-27.8536071777,,1770496272.25349
80.0287780762,728.0151977539,-15.674955368,-15.1015338898,,,,,-27.7888622284,,1770496272.264534
80.0287780762,727.9768066406,-15.5277786255,-15.7090082169,,,,,-27.5766410828,,1770496272.275102
79.8461303711,728.0536499023,-15.6013669968,-15.8912620544,,,,,-27.5622520447,,1770496272.287051
79.7243270874,728.0151977539,-15.1966295242,-15.6482725143,,,,,-27.3536319733,,1770496272.29762
79.9679031372,728.0536499023,-15.2702178955,-15.6482725143,,,,,-28.1269760132,,1770496272.308876
79.7852325439,728.0151977539,-15.2334241867,-15.7090082169,,,,,-27.2601089478,,1770496272.319318
79.9679031372,728.0536499023,-15.2702178955,-15.2230291367,,,,,-27.432762146,,1770496272.3310158
79.9070053101,728.0920410156,-15.5277786255,-15.1015338898,,,,,-27.832025528,,1770496272.3422809
79.9679031372,728.4378662109,-15.490983963,-15.1015338898,,,,,-27.8500099182,,1770496272.35339
78.9936904907,728.4378662109,-15.2334241867,-15.7697677612,,,,,-27.3176593781,,1770496272.3635461
79.7852325439,727.9768066406,-15.6381616592,-15.7090082169,,,,,-27.5838375092,,1770496272.375154
79.9070053101,728.1304931641,-15.2334241867,-15.7697677612,,,,,-27.9507236481,,1770496272.3861802
79.4807815552,728.0920410156,-15.5277786255,-15.6482725143,,,,,-27.7744750977,,1770496272.3972962
79.9679031372,728.2457275391,-15.674955368,-15.3445234299,,,,,-28.1449604034,,1770496272.407818
79.9679031372,727.8615112305,-15.490983963,-15.2837877274,,,,,-27.8500099182,,1770496272.419648
79.7852325439,728.2072753906,-15.2702178955,-15.2837877274,,,,,-27.2709007263,,1770496272.431851
79.8461303711,728.0151977539,-14.7918777466,-15.1622934341,,,,,-27.8284301758,,1770496272.4416971
