pt0,pt1,pt2,pt3,pt4,pt5,pt6,pt7,lc0,lc1,uptime,timestamp
109.21,-2.11,104348.12,-4.65,,-3.22,-8.25,866.99,-0.9527587891,-0.5781822205,1300530,1775935285.31664
111.62,-2.15,104304.84,-4.92,,-4.40,-8.25,867.05,-0.8727474213,-0.4675254822,1300540,1775935285.317343
111.62,-2.15,104304.84,-4.92,,-4.40,-8.25,867.05,-0.8727474213,-0.4675254822,1300540,1775935285.3180108
111.62,-2.11,104313.51,-4.50,,-3.11,-8.22,866.99,-0.8754482269,-0.9886856079,1300550,1775935285.31858
111.62,-2.11,104313.51,-4.50,,-3.11,-8.22,866.99,-0.8754482269,-0.9886856079,1300550,1775935285.319208
111.14,-2.18,104417.38,-4.61,,-3.19,-8.37,867.66,-0.8305759430,-0.3818588257,1300560,1775935285.31982
111.62,-2.22,104348.12,-4.96,,-2.92,-8.22,866.99,-0.7575931549,-0.5496292114,1300570,1775935285.320378
111.62,-2.22,104348.12,-4.96,,-2.92,-8.22,866.99,-0.7575931549,-0.5496292114,1300570,1775935285.320971
114.51,-2.15,104348.12,-4.96,,-2.88,-8.18,866.81,-0.8813972473,-0.8423347473,1300580,1775935285.3215759
114.51,-2.15,104348.12,-4.96,,-2.88,-8.18,866.81,-0.8813972473,-0.8423347473,1300580,1775935285.322072
111.62,-2.18,104348.12,-4.04,,-2.88,-8.14,866.81,-0.8943691254,-0.7887916565,1300590,1775935285.3225741
111.62,-2.18,104348.12,-4.04,,-2.88,-8.14,866.81,-0.8943691254,-0.7887916565,1300590,1775935285.323101
111.62,-2.11,104348.12,-4.53,,-3.15,-8.25,867.66,-0.8111152649,-0.7673721313,1300600,1775935285.323647
111.62,-2.11,104348.12,-4.53,,-3.15,-8.25,867.66,-0.8111152649,-0.7673721313,1300600,1775935285.337965
111.26,-2.03,104348.12,-4.96,,-2.88,-7.95,866.99,-0.6921730042,-1.0208129883,1300610,1775935285.3425338
110.66,-2.11,104313.51,-4.57,,-2.84,-8.29,866.99,-0.8397655487,-0.0677375793,1300620,1775935285.3432288
110.66,-2.11,104313.51,-4.57,,-2.84,-8.29,866.99,-0.8397655487,-0.0677375793,1300620,1775935285.343824
110.90,-1.88,104348.12,-4.53,,-3.15,-7.91,867.42,-0.8900470734,-0.1498336792,1300630,1775935285.344373
110.90,-1.88,104348.12,-4.53,,-3.15,-7.91,867.42,-0.8900470734,-0.1498336792,1300630,1775935285.3449118
110.90,-2.15,104426.03,-4.04,,-2.88,-7.87,867.66,-0.8889656067,-0.6495780945,1300640,1775935285.345602
110.90,-2.15,104426.03,-4.04,,-2.88,-7.87,867.66,-0.8889656067,-0.6495780945,1300640,1775935285.346344
110.66,-2.26,104313.51,-4.96,,-2.88,-7.87,866.99,-0.7094726562,-1.0565071106,1300650,1775935285.375558
110.66,-2.26,104313.51,-4.96,,-2.88,-7.87,866.99,-0.7094726562,-1.0565071106,1300650,1775935285.378562
110.66,-2.41,104209.62,-5.00,,-2.92,-7.83,867.42,-0.7532653809,-0.9565582275,1300660,1775935285.379232
110.66,-2.41,104209.62,-5.00,,-2.92,-7.83,867.42,-0.7532653809,-0.9565582275,1300660,1775935285.380096
110.66,-2.41,104313.51,-4.96,,-2.84,-7.87,867.05,-0.7586727142,-0.8708877563,1300670,1775935285.380822
110.66,-2.41,104313.51,-4.96,,-2.84,-7.87,867.05,-0.7586727142,-0.8708877563,1300670,1775935285.38202
111.62,-2.45,104434.68,-4.65,,-2.88,-8.14,866.87,-0.9376220703,-0.7638053894,1300680,1775935285.382713
111.62,-2.45,104434.68,-4.65,,-2.88,-8.14,866.87,-0.9376220703,-0.7638053894,1300680,1775935285.383399
111.62,-2.15,104209.62,-4.57,,-2.54,-7.79,866.75,-0.9430294037,-0.5710449219,1300690,1775935285.387297
111.62,-2.15,104209.62,-4.57,,-2.54,-7.79,866.75,-0.9430294037,-0.5710449219,1300690,1775935285.425291
111.62,-2.53,104452.00,-4.65,,-2.88,-8.25,866.99,-0.6943340302,-0.9387092590,1300700,1775935285.4298959
110.90,-2.11,104313.51,-4.69,,-2.84,-7.83,866.99,-0.8181438446,-0.6995506287,1300710,1775935285.43063
110.90,-2.11,104313.51,-4.69,,-2.84,-7.83,866.99,-0.8181438446,-0.6995506287,1300710,1775935285.431376
111.62,-2.15,104313.51,-4.92,,-2.84,-8.14,867.42,-0.7527256012,-0.4925117493,1300720,1775935285.4321
111.62,-2.15,104313.51,-4.92,,-2.84,-8.14,867.42,-0.7527256012,-0.4925117493,1300720,1775935285.432801
110.78,-2.49,104209.62,-4.88,,-2.88,-8.18,867.48,-0.8808574677,-0.5817527771,1300730,1775935285.433516
